brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,price_usd,mileage_mi,clean_title_flag,accident_reported,model_year_numeric,car_age,scaled_mileage,fuel_type_encoded
Acura,MDX Technology,2022,"15,895 mi.",Gasoline,3.5L V6 24V GDI SOHC,10-Speed Automatic,Majestic Black Pearl,Parchment,None reported,,"$47,950",47950,15895,,False,2022,4.0,15.895,0.0
Bentley,Bentayga Speed,2020,"15,109 mi.",Gasoline,6.0L W12 48V PDI DOHC Twin Turbo,8-Speed Automatic,Ice,Beluga Hide,,,"$162,950",162950,15109,,,2020,6.0,15.109,0.0
Rolls-Royce,Cullinan,2022,398 mi.,Gasoline,6.7L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,Silver,Charles Blue,None reported,Yes,"$695,000",695000,398,True,False,2022,4.0,0.398,0.0
Genesis,GV70 2.5T,2022,"20,319 mi.",Gasoline,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,"$44,249",44249,20319,True,False,2022,4.0,20.319,0.0
Pontiac,Firebird Base,1999,"158,000 mi.",Gasoline,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,"$2,500",2500,158000,True,True,1999,27.0,158.0,0.0
Lexus,GX 460 Base,2021,"40,906 mi.",Gasoline,4.6 Liter,Automatic,Black,Black,None reported,,"$51,998",51998,40906,,False,2021,5.0,40.906,0.0
BMW,ALPINA B7 ALPINA B7 xDrive,2020,"33,749 mi.",Gasoline,4.4 Liter Twin Turbo,Automatic,Blue,Red,None reported,,"$85,998",85998,33749,,False,2020,6.0,33.749,0.0
BMW,M4 Competition xDrive,2023,"1,120 mi.",Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,White,None reported,Yes,"$92,900",92900,1120,True,False,2023,3.0,1.12,0.0
Jeep,Grand Cherokee L Limited,2021,"26,088 mi.",Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Silver Zynith,Global Black,None reported,,"$38,383",38383,26088,,False,2021,5.0,26.088,0.0
Kia,Forte GT-Line,2022,"14,950 mi.",Gasoline,147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,"$24,000",24000,14950,True,True,2022,4.0,14.95,0.0
Kia,Forte LX,2018,"47,466 mi.",Gasoline,"2L I-4 DOHC, D-CVVT variable valve control, engine with 147HP",Automatic,Silky Silver,Black,None reported,,"$14,699",14699,47466,,False,2018,8.0,47.466,0.0
BMW,X6 M Base,2022,"10,376 mi.",Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Ametrin Metallic,Black,None reported,,"$98,900",98900,10376,,False,2022,4.0,10.376,0.0
RAM,ProMaster 3500 High Roof,2021,"18,500 mi.",Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,"$41,950",41950,18500,True,False,2021,5.0,18.5,0.0
Volkswagen,Atlas Cross Sport 3.6L V6 SEL Premium,2021,"24,596 mi.",Gasoline,3.6L V6 24V GDI DOHC,8-Speed Automatic,Deep Black Pearl Effect,Titan Black / Quarzit,None reported,,"$38,322",38322,24596,,False,2021,5.0,24.596,0.0
Hyundai,Santa Fe SEL,2021,"2,905 mi.",Gasoline,2.5L I4 16V PDI DOHC,8-Speed Automatic,Shimmering Silver,Black,None reported,,"$27,599",27599,2905,,False,2021,5.0,2.905,0.0
Jaguar,XF 3.0 Portfolio,2015,"71,290 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Brown,Black,At least 1 accident or damage reported,Yes,"$21,000",21000,71290,True,True,2015,11.0,71.29,0.0
Audi,A7 55 Premium Plus,2022,"15,000 mi.",Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Gray,Black,None reported,Yes,"$63,000",63000,15000,True,False,2022,4.0,15.0,
INFINITI,QX30 Premium,2017,"37,900 mi.",Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,None reported,Yes,"$22,000",22000,37900,True,False,2017,9.0,37.9,0.0
Mercedes-Benz,AMG G 63 4MATIC,2022,"2,000 mi.",Gasoline,577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,,,"$244,896",244896,2000,,,2022,4.0,2.0,0.0
Mercedes-Benz,AMG C 43 AMG C 43 4MATIC,2019,"32,500 mi.",Gasoline,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Black,None reported,Yes,"$43,500",43500,32500,True,False,2019,7.0,32.5,0.0
Mitsubishi,Lancer Evolution Base,2003,"61,491 mi.",Gasoline,271.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Blue,Black,At least 1 accident or damage reported,Yes,"$28,000",28000,61491,True,True,2003,23.0,61.491,0.0
Jeep,Wrangler Unlimited Sport,2013,"77,634 mi.",Gasoline,3.6L V6 24V MPFI DOHC,5-Speed Automatic,Gecko Pearlcoat,Black,None reported,,"$24,590",24590,77634,,False,2013,13.0,77.634,0.0
Audi,A3 2.0 TDI Premium Plus,2015,"83,000 mi.",Diesel,150.0HP 2.0L 4 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$18,999",18999,83000,True,True,2015,11.0,83.0,1.0
Volkswagen,Jetta GLX VR6,2002,"121,800 mi.",Gasoline,174.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Black,None reported,Yes,"$4,300",4300,121800,True,False,2002,24.0,121.8,0.0
BMW,ALPINA B7 ALPINA B7 xDrive,2020,"65,852 mi.",Gasoline,4.4 Liter Twin Turbo,Automatic,Black,Mocha,None reported,,"$68,998",68998,65852,,False,2020,6.0,65.852,0.0
Bentley,Bentayga Azure First Edition,2023,"1,335 mi.",Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Onyx,Portland,None reported,Yes,"$272,950",272950,1335,True,False,2023,3.0,1.335,0.0
Mercedes-Benz,CLA-Class CLA 250,2014,"83,315 mi.",Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,White,None reported,Yes,"$15,000",15000,83315,True,False,2014,12.0,83.315,0.0
BMW,i8 Base,2019,"18,421 mi.",Plug-In Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,6-Speed A/T,Black,Black,,,"$85,000",85000,18421,,,2019,7.0,18.421,
Lexus,CT 200h Premium,2015,"101,000 mi.",Hybrid,134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Black,Black,At least 1 accident or damage reported,Yes,"$16,500",16500,101000,True,True,2015,11.0,101.0,
Toyota,Tundra SR5,2022,"29,322 mi.",Gasoline,3.4L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Gray,Black,None reported,,"$44,999",44999,29322,,False,2022,4.0,29.322,0.0
Mercedes-Benz,SLC 300 Base,2019,"23,900 mi.",Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,None reported,Yes,"$35,999",35999,23900,True,False,2019,7.0,23.9,0.0
Mercedes-Benz,AMG C AMG C 63 S,2016,"40,515 mi.",Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,7-Speed Automatic,Black,Black,At least 1 accident or damage reported,,"$47,999",47999,40515,,True,2016,10.0,40.515,0.0
Ford,F-150 XLT,2020,"67,516 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Gray,Medium Light Camel,None reported,Yes,"$36,994",36994,67516,True,False,2020,6.0,67.516,0.0
Mazda,CX-9 Grand Touring,2010,"155,000 mi.",Gasoline,273.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,Yes,"$8,300",8300,155000,True,False,2010,16.0,155.0,0.0
Honda,Ridgeline RTL-E,2019,"26,998 mi.",Gasoline,3.5L V6 24V GDI SOHC,6-Speed Automatic,Black,Black,None reported,,"$35,557",35557,26998,,False,2019,7.0,26.998,0.0
Bentley,Bentayga Onyx Edition,2018,"18,500 mi.",Gasoline,600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,None reported,Yes,"$115,000",115000,18500,True,False,2018,8.0,18.5,0.0
MINI,Cooper S Clubman Base,2009,"137,600 mi.",Gasoline,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gold,Black,None reported,Yes,"$6,880",6880,137600,True,False,2009,17.0,137.6,0.0
Nissan,Murano SL,2005,"125,500 mi.",Gasoline,245.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Beige,None reported,Yes,"$3,950",3950,125500,True,False,2005,21.0,125.5,0.0
Bentley,Bentayga V8,2019,"22,039 mi.",Gasoline,542.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,"$113,990",113990,22039,True,False,2019,7.0,22.039,0.0
Nissan,Juke SV,2011,"137,483 mi.",Gasoline,188.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,White,Gray,None reported,Yes,"$3,200",3200,137483,True,False,2011,15.0,137.483,0.0
Ford,Expedition Max Limited,2019,"67,500 mi.",Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,Yes,"$40,500",40500,67500,True,False,2019,7.0,67.5,0.0
Ford,Expedition Max King Ranch,2020,"52,000 mi.",Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Brown,At least 1 accident or damage reported,Yes,"$53,722",53722,52000,True,True,2020,6.0,52.0,0.0
Lamborghini,Murcielago Base,2006,"10,000 mi.",Gasoline,571.0HP 6.2L 12 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,"$259,000",259000,10000,True,False,2006,20.0,10.0,0.0
Chevrolet,Suburban LT,2017,"195,361 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Transmission Overdrive Switch,Black,Black,At least 1 accident or damage reported,Yes,"$26,000",26000,195361,True,True,2017,9.0,195.361,0.0
Bentley,Bentayga Onyx Edition,2018,"32,500 mi.",Gasoline,600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,"$103,000",103000,32500,True,True,2018,8.0,32.5,0.0
BMW,M760 i xDrive,2019,"14,806 mi.",Gasoline,601.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,"$81,330",81330,14806,True,True,2019,7.0,14.806,0.0
Genesis,GV70 2.5T,2022,"11,000 mi.",Gasoline,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,White,,At least 1 accident or damage reported,Yes,"$48,950",48950,11000,True,True,2022,4.0,11.0,0.0
Chevrolet,Tahoe LT,2011,"92,530 mi.",E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Red,Black,At least 1 accident or damage reported,Yes,"$18,500",18500,92530,True,True,2011,15.0,92.53,
Dodge,Durango GT,2017,"34,845 mi.",Gasoline,295.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,"$30,000",30000,34845,True,True,2017,9.0,34.845,0.0
Porsche,718 Cayman GTS,2018,"16,280 mi.",Gasoline,365.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Black,None reported,Yes,"$85,500",85500,16280,True,False,2018,8.0,16.28,0.0
Porsche,Cayman Base,2011,"77,000 mi.",Gasoline,265.0HP 2.9L Flat 6 Cylinder Engine Gasoline Fuel,A/T,Red,Beige,None reported,Yes,"$32,000",32000,77000,True,False,2011,15.0,77.0,0.0
Porsche,Panamera Turbo,2010,"63,000 mi.",Gasoline,500.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,"$38,500",38500,63000,True,True,2010,16.0,63.0,0.0
Lexus,ES 350 Base,2016,"39,700 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,"$25,500",25500,39700,True,False,2016,10.0,39.7,0.0
Kia,Optima Hybrid LX,2013,"103,111 mi.",Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Silver,Beige,At least 1 accident or damage reported,Yes,"$9,200",9200,103111,True,True,2013,13.0,103.111,
Land Rover,Rover Range Rover Velar R-Dynamic SE,2019,"75,897 mi.",Gasoline,2.0 Liter,Automatic,Black,Black,None reported,,"$35,998",35998,75897,,False,2019,7.0,75.897,0.0
Jaguar,XF S,2017,"55,000 mi.",Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Red,None reported,Yes,"$34,000",34000,55000,True,False,2017,9.0,55.0,0.0
Lexus,GX 470 Base,2005,"114,000 mi.",Gasoline,270.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,"$13,450",13450,114000,True,True,2005,21.0,114.0,0.0
Mercedes-Benz,GL-Class GL 550,2011,"80,124 mi.",Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,"$17,500",17500,80124,True,False,2011,15.0,80.124,0.0
BMW,X6 M Base,2023,"7,000 mi.",Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Gray,None reported,Yes,"$144,900",144900,7000,True,False,2023,3.0,7.0,0.0
RAM,1500 Longhorn,2023,"4,285 mi.",Gasoline,5.7L V8 16V MPFI OHV,Automatic,Delmonico Red Pearlcoat,Black / Saddle,None reported,Yes,"$65,688",65688,4285,True,False,2023,3.0,4.285,0.0
Lamborghini,Huracan LP580-2S,2019,"17,175 mi.",Gasoline,5.2L V10 40V GDI DOHC,7-Speed Automatic with Auto-Shift,Rosso Mars Metallic,Nero Ade,None reported,,"$234,900",234900,17175,,False,2019,7.0,17.175,0.0
Toyota,Highlander Hybrid Limited Platinum,2017,"34,049 mi.",Hybrid,3.5L V6 24V PDI DOHC Hybrid,Automatic CVT,Shoreline Blue Pearl,Ash,None reported,,"$37,999",37999,34049,,False,2017,9.0,34.049,
Audi,e-tron Prestige,2019,"16,000 mi.",,355.0HP Electric Motor Electric Fuel System,A/T,White,Beige,At least 1 accident or damage reported,Yes,"$39,990",39990,16000,True,True,2019,7.0,16.0,
GMC,Suburban 2500,1996,"95,000 mi.",Gasoline,290.0HP 7.4L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Gray,None reported,Yes,"$25,000",25000,95000,True,False,1996,30.0,95.0,0.0
Land Rover,Rover Range Rover Velar SVAutobiography Dynamic Edition,2020,"59,355 mi.",Gasoline,V8,Automatic,Santorini Black,Ebony / Pimento,None reported,Yes,"$72,995",72995,59355,True,False,2020,6.0,59.355,0.0
Chevrolet,Bolt EUV Premier,2022,"31,000 mi.",,200.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,White,None reported,Yes,"$36,000",36000,31000,True,False,2022,4.0,31.0,
BMW,M240 i,2019,"19,300 mi.",Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Red,None reported,Yes,"$36,000",36000,19300,True,False,2019,7.0,19.3,0.0
Cadillac,Escalade EXT Base,2009,"155,000 mi.",E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Red,Beige,At least 1 accident or damage reported,Yes,"$16,900",16900,155000,True,True,2009,17.0,155.0,
Scion,tC Release Series 6.0,2010,"120,010 mi.",Gasoline,161.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,"$6,500",6500,120010,True,True,2010,16.0,120.01,0.0
Kia,Optima EX,2012,"152,520 mi.",Gasoline,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,"$10,900",10900,152520,True,False,2012,14.0,152.52,0.0
Honda,Civic EX,1993,"58,981 mi.",,,A/T,White,Beige,None reported,Yes,"$9,599",9599,58981,True,False,1993,33.0,58.981,
Maserati,Quattroporte Base,2005,"32,000 mi.",Gasoline,394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Beige,At least 1 accident or damage reported,Yes,"$2,954,083",2954083,32000,True,True,2005,21.0,32.0,0.0
Porsche,Panamera Turbo,2015,"47,000 mi.",Gasoline,520.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,"$50,000",50000,47000,True,False,2015,11.0,47.0,0.0
Genesis,G70 2.0T,2023,"2,046 mi.",Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Gray,None reported,Yes,"$43,499",43499,2046,True,False,2023,3.0,2.046,0.0
Chevrolet,Trailblazer LS,2021,"24,965 mi.",Gasoline,1.2L I3 12V GDI DOHC Turbo,Automatic CVT,Mosaic Black Metallic,Jet Black,At least 1 accident or damage reported,Yes,"$22,995",22995,24965,True,True,2021,5.0,24.965,0.0
Toyota,Camry LE,2005,"108,000 mi.",Gasoline,160.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,Beige,Gray,None reported,Yes,"$7,850",7850,108000,True,False,2005,21.0,108.0,0.0
Toyota,Sienna LE,2015,"76,000 mi.",Gasoline,266.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,None reported,Yes,"$18,300",18300,76000,True,False,2015,11.0,76.0,0.0
Porsche,911 Carrera S,2014,"30,000 mi.",Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Brown,None reported,Yes,"$78,500",78500,30000,True,False,2014,12.0,30.0,0.0
Volvo,V60 T6 R-Design Platinum,2015,"59,271 mi.",Gasoline,325.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,None reported,Yes,"$29,900",29900,59271,True,False,2015,11.0,59.271,0.0
Lexus,LX 600 Premium,2023,"1,500 mi.",Gasoline,409.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,,,"$119,500",119500,1500,,,2023,3.0,1.5,0.0
BMW,330e iPerformance,2017,"52,500 mi.",Plug-In Hybrid,247.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Blue,Black,At least 1 accident or damage reported,Yes,"$24,950",24950,52500,True,True,2017,9.0,52.5,
Tesla,Model Y Long Range,2020,"23,100 mi.",,425.0HP Electric Motor Electric Fuel System,A/T,Blue,White,None reported,Yes,"$36,495",36495,23100,True,False,2020,6.0,23.1,
FIAT,124 Spider Abarth,2017,"45,000 mi.",Gasoline,164.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,At least 1 accident or damage reported,Yes,"$22,500",22500,45000,True,True,2017,9.0,45.0,0.0
Dodge,Ram 1500 Quad Cab,2002,"179,000 mi.",Gasoline,245.0HP 5.9L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,"$6,500",6500,179000,True,True,2002,24.0,179.0,0.0
Toyota,Supra A91-MT Edition,2023,"1,500 mi.",Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Orange,None reported,Yes,"$84,900",84900,1500,True,False,2023,3.0,1.5,0.0
BMW,X7 xDrive40i,2022,"38,671 mi.",Hybrid,3.0 Liter Turbo,Automatic,Gray,Blk,None reported,,"$66,998",66998,38671,,False,2022,4.0,38.671,
Jeep,Wrangler Unlimited X,2007,"135,465 mi.",Gasoline,205.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,"$15,750",15750,135465,True,False,2007,19.0,135.465,0.0
MINI,Countryman Cooper S ALL4,2014,"79,000 mi.",Gasoline,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,"$17,000",17000,79000,True,False,2014,12.0,79.0,0.0
Nissan,Maxima SV,2012,"42,259 mi.",Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Black,At least 1 accident or damage reported,Yes,"$17,000",17000,42259,True,True,2012,14.0,42.259,0.0
Toyota,Camry Solara SLE V6,2006,"159,890 mi.",Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,"$6,500",6500,159890,True,True,2006,20.0,159.89,0.0
Maserati,Grecale Modena,2023,"2,200 mi.",Hybrid,325.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Black,Red,None reported,Yes,"$75,000",75000,2200,True,False,2023,3.0,2.2,
Lexus,RX 450h Base,2022,"15,833 mi.",Hybrid,308.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,White,Beige,None reported,Yes,"$52,000",52000,15833,True,False,2022,4.0,15.833,
BMW,328 i xDrive,2013,"96,000 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,"$13,500",13500,96000,True,True,2013,13.0,96.0,0.0
BMW,135 i,2009,"72,900 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Gray,None reported,Yes,"$15,500",15500,72900,True,False,2009,17.0,72.9,0.0
BMW,X7 M50i,2021,"7,121 mi.",Gasoline,4.4 Liter Twin Turbo,Automatic,Gray,Black,None reported,,"$94,998",94998,7121,,False,2021,5.0,7.121,0.0
Hyundai,Tucson Hybrid SEL Convenience,2023,"3,402 mi.",Hybrid,226.0HP 1.6L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Black,None reported,Yes,"$44,000",44000,3402,True,False,2023,3.0,3.402,
Volvo,C30 T5 Premier Plus,2013,"73,000 mi.",Gasoline,227.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,"$13,900",13900,73000,True,False,2013,13.0,73.0,0.0
Karma,Revero Base,2018,"21,000 mi.",,403.0HP 2.0L Electric Motor Electric Fuel System,A/T,White,Black,None reported,Yes,"$51,000",51000,21000,True,False,2018,8.0,21.0,
BMW,X7 xDrive40i,2021,"30,309 mi.",Hybrid,3.0 Liter Turbo,Automatic,Blue,Tan,None reported,,"$63,598",63598,30309,,False,2021,5.0,30.309,
Ford,Mustang Mach-E California Route 1,2021,"24,000 mi.",,290.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,Black,None reported,Yes,"$38,000",38000,24000,True,False,2021,5.0,24.0,
BMW,740 i,2016,"73,000 mi.",Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,"$23,999",23999,73000,True,False,2016,10.0,73.0,0.0
Ford,Edge SEL,2019,"26,465 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,White Platinum Tri-Coat Metallic,Ebony,None reported,,"$24,998",24998,26465,,False,2019,7.0,26.465,0.0
Volkswagen,Arteon 2.0T SEL Premium R-Line,2020,"26,870 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Deep Black Pearl Effect,Mistral Gray / Raven,At least 1 accident or damage reported,Yes,"$34,645",34645,26870,True,True,2020,6.0,26.87,0.0
Honda,Pilot EX,2004,"184,000 mi.",Gasoline,240.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,"$10,500",10500,184000,True,True,2004,22.0,184.0,0.0
BMW,X7 ALPINA XB7,2022,"4,514 mi.",Gasoline,4.4 Liter Twin Turbo,Automatic,Gray,Black,None reported,,"$132,998",132998,4514,,False,2022,4.0,4.514,0.0
RAM,2500 Tradesman,2022,"1,300 mi.",Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Black,None reported,Yes,"$48,000",48000,1300,True,False,2022,4.0,1.3,0.0
Jeep,Grand Cherokee Limited,2018,"49,924 mi.",Gasoline,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,"$26,500",26500,49924,True,False,2018,8.0,49.924,0.0
GMC,Yukon Denali,2019,"36,526 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Red,Black,None reported,Yes,"$57,850",57850,36526,True,False,2019,7.0,36.526,0.0
BMW,M6 Base,2015,"37,000 mi.",Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Silver,None reported,Yes,"$45,950",45950,37000,True,False,2015,11.0,37.0,0.0
Acura,MDX 3.5L w/Advance & Entertainment Pkgs,2017,"79,884 mi.",Gasoline,3.5L V6 24V GDI SOHC,9-Speed Automatic,Gray,Graystone,At least 1 accident or damage reported,,"$24,840",24840,79884,,True,2017,9.0,79.884,0.0
Volkswagen,Beetle 1.8T,2016,"30,000 mi.",Gasoline,170.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,At least 1 accident or damage reported,Yes,"$19,000",19000,30000,True,True,2016,10.0,30.0,0.0
BMW,X6 M Base,2021,"11,102 mi.",Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,"$101,000",101000,11102,True,False,2021,5.0,11.102,0.0
Ford,Mustang GT Premium,2012,"105,500 mi.",Gasoline,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,Yes,"$19,000",19000,105500,True,False,2012,14.0,105.5,0.0
BMW,X7 xDrive50i,2019,"31,157 mi.",Gasoline,4.4 Liter GDI DOHC Twin Turbo,Automatic,Black,Blk,None reported,,"$65,998",65998,31157,,False,2019,7.0,31.157,0.0
Kia,Sorento LX V6,2019,"86,204 mi.",Gasoline,3.3L V6 24V GDI DOHC,8-Speed Automatic,Sparkling Silver,Satin Black,At least 1 accident or damage reported,,"$20,708",20708,86204,,True,2019,7.0,86.204,0.0
BMW,435 i,2014,"80,211 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Gray,Red,At least 1 accident or damage reported,Yes,"$17,995",17995,80211,True,True,2014,12.0,80.211,0.0
Aston Martin,Martin V8 Vantage Base,2010,"25,991 mi.",Gasoline,420.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,Yes,"$69,995",69995,25991,True,False,2010,16.0,25.991,0.0
Mercedes-Benz,CLK-Class CLK 350,2008,"73,000 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,"$8,400",8400,73000,True,False,2008,18.0,73.0,0.0
